Date,Price of last transaction,Max.,Min.,Average price,%prom.,Quantity,BEST turnover in denars,Total turnover in denars
26.12.2024,"372,00",,,"372,00","0,00",0,0,0
25.12.2024,"372,00",,,"372,00","0,00",0,0,0
24.12.2024,"372,00",,,"372,00","0,00",0,0,0
23.12.2024,"372,00",,,"372,00","0,00",0,0,0
20.12.2024,"372,00",,,"372,00","0,00",0,0,0
19.12.2024,"372,00",,,"372,00","0,00",0,0,0
18.12.2024,"372,00",,,"372,00","0,00",0,0,0
17.12.2024,"372,00",,,"372,00","0,00",0,0,0
16.12.2024,"372,00",,,"372,00","0,00",0,0,0
13.12.2024,"372,00",,,"372,00","0,00",0,0,0
12.12.2024,"372,00",,,"372,00","0,00",0,0,0
11.12.2024,"372,00",,,"372,00","0,00",0,0,0
10.12.2024,"372,00",,,"372,00","0,00",0,0,0
06.12.2024,"372,00",,,"372,00","0,00",0,0,0
05.12.2024,"372,00",,,"372,00","0,00",0,0,0
04.12.2024,"372,00","372,00","372,00","372,00","0,00",20,7.440,7.440
03.12.2024,"372,00",,,"372,00","0,00",0,0,0
02.12.2024,"372,00",,,"372,00","0,00",0,0,0
29.11.2024,"372,00",,,"372,00","0,00",0,0,0
28.11.2024,"372,00",,,"372,00","0,00",0,0,0
28.12.2023,"372,00",,,"372,00","0,00",0,0,0
28.12.2023,"372,00",,,"372,00","0,00",0,0,0
27.12.2023,"372,00",,,"372,00","0,00",0,0,0
26.12.2023,"372,00",,,"372,00","0,00",0,0,0
25.12.2023,"372,00",,,"372,00","0,00",0,0,0
22.12.2023,"372,00",,,"372,00","0,00",0,0,0
21.12.2023,"372,00",,,"372,00","0,00",0,0,0
20.12.2023,"372,00",,,"372,00","0,00",0,0,0
19.12.2023,"372,00",,,"372,00","0,00",0,0,0
18.12.2023,"372,00",,,"372,00","0,00",0,0,0
15.12.2023,"372,00",,,"372,00","0,00",0,0,0
14.12.2023,"372,00",,,"372,00","0,00",0,0,0
13.12.2023,"372,00",,,"372,00","0,00",0,0,0
12.12.2023,"372,00",,,"372,00","0,00",0,0,0
11.12.2023,"372,00",,,"372,00","0,00",0,0,0
07.12.2023,"372,00",,,"372,00","0,00",0,0,0
06.12.2023,"372,00",,,"372,00","0,00",0,0,0
05.12.2023,"372,00",,,"372,00","0,00",0,0,0
04.12.2023,"372,00",,,"372,00","0,00",0,0,0
01.12.2023,"372,00",,,"372,00","0,00",0,0,0
30.11.2023,"372,00",,,"372,00","0,00",0,0,0
29.11.2023,"372,00",,,"372,00","0,00",0,0,0
28.11.2023,"372,00",,,"372,00","0,00",0,0,0
27.11.2023,"372,00",,,"372,00","0,00",0,0,0
24.11.2023,"372,00",,,"372,00","0,00",0,0,0
23.11.2023,"372,00",,,"372,00","0,00",0,0,0
22.11.2023,"372,00",,,"372,00","0,00",0,0,0
21.11.2023,"372,00",,,"372,00","0,00",0,0,0
20.11.2023,"372,00",,,"372,00","0,00",0,0,0
