Date,Price of last transaction,Max.,Min.,Average price,%prom.,Quantity,BEST turnover in denars,Total turnover in denars
26.12.2024,"282,00",,,"282,00","0,00",0,0,0
25.12.2024,"282,00",,,"282,00","0,00",0,0,0
24.12.2024,"282,00",,,"282,00","0,00",0,0,0
23.12.2024,"282,00",,,"282,00","0,00",0,0,0
20.12.2024,"282,00",,,"282,00","0,00",0,0,0
19.12.2024,"282,00",,,"282,00","0,00",0,0,0
18.12.2024,"282,00",,,"282,00","0,00",0,0,0
17.12.2024,"282,00",,,"282,00","0,00",0,0,0
16.12.2024,"282,00",,,"282,00","0,00",0,0,0
13.12.2024,"282,00",,,"282,00","0,00",0,0,0
12.12.2024,"282,00",,,"282,00","0,00",0,0,0
