Date,Price of last transaction,Max.,Min.,Average price,%prom.,Quantity,BEST turnover in denars,Total turnover in denars
14.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
13.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
12.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
11.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
08.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
07.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
06.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
05.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
04.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
01.11.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
31.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
30.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
29.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
28.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
25.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
24.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
22.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
21.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,5.000.100
18.10.2024,"1.400,00",,,"1.400,00","0,00",0,0,0
29.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
28.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
27.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
26.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
23.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
22.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
21.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
20.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
19.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
16.12.2022,"1.400,00",,,"1.400,00","0,00",0,0,0
